Name,Identifier,Weight,Sector,Shares Held
Henry Schein Inc.,HSIC,0.038176,Health Care,1748754.000
Everest Re Group Ltd.,RE,0.038172,Financials,467680.000
Zions Bancorporation N.A.,ZION,0.038140,Financials,2220255.000
Nielsen Holdings Plc,NLSN,0.037986,Industrials,4082542.000
Packaging Corporation of America,PKG,0.037482,Materials,1075157.000
BorgWarner Inc.,BWA,0.037361,Consumer Discretionary,2392583.000
Jacobs Engineering Group Inc.,JEC,0.037289,Industrials,1358581.000
Torchmark Corporation,TMK,0.036800,Financials,1186970.000
Albemarle Corporation,ALB,0.036736,Materials,1240315.000
Allegion PLC,ALLE,0.036366,Industrials,1088031.000
Arconic Inc.,ARNC,0.036191,Industrials,4916565.000
Snap-on Incorporated,SNA,0.036074,Industrials,646290.000
Brown-Forman Corporation Class B,BF.B,0.035948,Consumer Staples,1920705.000
Invesco Ltd.,IVZ,0.035799,Financials,4671348.000
Whirlpool Corporation,WHR,0.035690,Consumer Discretionary,730013.000
J.B. Hunt Transport Services Inc.,JBHT,0.035265,Industrials,987961.000
Western Union Company,WU,0.035009,Information Technology,5111968.000
Interpublic Group of Companies Inc.,IPG,0.034847,Communication Services,4390010.000
Mohawk Industries Inc.,MHK,0.033697,Consumer Discretionary,722097.000
Robert Half International Inc.,RHI,0.033446,Industrials,1397841.000
Unum Group,UNM,0.033357,Financials,2496337.000
A. O. Smith Corporation,AOS,0.032833,Industrials,1648907.000
DISH Network Corporation Class A,DISH,0.031677,Communication Services,2608234.000
HollyFrontier Corporation,HFC,0.031673,Energy,1853772.000
PulteGroup Inc.,PHM,0.031643,Consumer Discretionary,2987125.000
Apartment Investment and Management Company Class A,AIV,0.031535,Real Estate,1793395.000
Alliance Data Systems Corporation,ADS,0.031526,Information Technology,541599.000
SL Green Realty Corp.,SLG,0.030690,Real Estate,987981.000
Macy's Inc,M,0.030620,Consumer Discretionary,3489803.000
Campbell Soup Company,CPB,0.030579,Consumer Staples,2178748.000
Alaska Air Group Inc.,ALK,0.030489,Industrials,1404867.000
Foot Locker Inc.,FL,0.030222,Consumer Discretionary,1335596.000
Capri Holdings Limited,CPRI,0.030123,Consumer Discretionary,1768964.000
Sealed Air Corporation,SEE,0.029999,Materials,1816360.000
Kimco Realty Corporation,KIM,0.029913,Real Estate,4840770.000
Ralph Lauren Corporation Class A,RL,0.029687,Consumer Discretionary,643744.000
Cimarex Energy Co.,XEC,0.029097,Energy,1175005.000
Xerox Corporation,XRX,0.028822,Information Technology,2313486.000
DaVita Inc.,DVA,0.028597,Health Care,1452267.000
Fortune Brands Home & Security Inc.,FBHS,0.028593,Industrials,1627070.000
Hanesbrands Inc.,HBI,0.028130,Consumer Discretionary,4214866.000
Harley-Davidson Inc.,HOG,0.027580,Consumer Discretionary,1900963.000
FLIR Systems Inc.,FLIR,0.027572,Information Technology,1561684.000
Helmerich & Payne Inc.,HP,0.027286,Energy,1239802.000
Pentair plc,PNR,0.027022,Industrials,1875853.000
People's United Financial Inc.,PBCT,0.026399,Financials,4272191.000
Flowserve Corporation,FLS,0.026042,Industrials,1489773.000
Rollins Inc.,ROL,0.025974,Industrials,1691072.000
Perrigo Co. Plc,PRGO,0.025921,Health Care,1439142.000
IPG Photonics Corporation,IPGP,0.025211,Information Technology,411709.000
Fox Corporation Class B,FOX,0.024654,Communication Services,1861430.000
Affiliated Managers Group Inc.,AMG,0.024472,Financials,610963.000
Newell Brands Inc,NWL,0.024316,Consumer Discretionary,4500196.000
Quanta Services Inc.,PWR,0.024029,Industrials,1681369.000
L Brands Inc.,LB,0.023880,Consumer Discretionary,2613435.000
Nektar Therapeutics,NKTR,0.023488,Health Care,1976808.000
Leggett & Platt Incorporated,LEG,0.023441,Consumer Discretionary,1505605.000
Gap Inc.,GPS,0.023237,Consumer Discretionary,2505067.000
Fluor Corporation,FLR,0.023099,Industrials,1599927.000
H&R Block Inc.,HRB,0.022006,Consumer Discretionary,2333813.000
TripAdvisor Inc.,TRIP,0.021762,Communication Services,1170551.000
Jefferies Financial Group Inc.,JEF,0.021737,Financials,3044250.000
Assurant Inc.,AIZ,0.020573,Financials,606994.000
Coty Inc. Class A,COTY,0.020504,Consumer Staples,5152336.000
Nordstrom Inc.,JWN,0.020240,Consumer Discretionary,1308071.000
News Corporation Class A,NWSA,0.019691,Communication Services,4366256.000
Discovery Inc. Class A,DISCA,0.018973,Communication Services,1777935.000
Mattel Inc.,MAT,0.018636,Consumer Discretionary,3918898.000
Macerich Company,MAC,0.017898,Real Estate,1225196.000
Under Armour Inc. Class A,UAA,0.016441,Consumer Discretionary,2118744.000
Under Armour Inc. Class C,UA,0.014897,Consumer Discretionary,2146210.000
News Corporation Class B,NWS,0.005947,Communication Services,1310304.000
